Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
First,6,3,3,Right-handed,Right leg in first,On your back
Second,4,1,3,Left-handed,I don't know,On your left side
Second,2,5,3,Left-handed,Right leg in first,On your left side
First,2,1,4,Right-handed,Right leg in first,On your left side
First,4,3,4,Left-handed,Right leg in first,On your left side
First,7,5,4,Right-handed,Right leg in first,On your right side
First,8,20,4,Right-handed,Left leg in first,On your stomach
First,2,8,4,Right-handed,Right leg in first,On your stomach
Fourth,6,3,4,Right-handed,Left leg in first,On your back
Fourth,4,3,4,Right-handed,I don't know,On your right side
Second,5,4,4,Right-handed,I don't know,On your back
Second,7,2,4,Left-handed,Left leg in first,On your back
Second,8,5,4,Right-handed,Left leg in first,On your back
Second,4,10,4,Right-handed,Left leg in first,On your left side
Second,5,2,4,Right-handed,Right leg in first,On your left side
Second,6,2,4,Right-handed,Right leg in first,On your left side
Second,8,10,4,Right-handed,Right leg in first,On your right side
Second,3,1,4,Right-handed,Left leg in first,On your stomach
Third,8,5,4,Right-handed,Right leg in first,On your right side
Fifth or above,4,0,5,Right-handed,Left leg in first,On your right side
First,3,3,5,Right-handed,Left leg in first,On your back
First,6,3,5,Right-handed,Left leg in first,On your back
First,8,23,5,Right-handed,Left leg in first,On your back
First,6,2,5,Right-handed,Right leg in first,On your back
First,6,8,5,Right-handed,Right leg in first,On your back
First,2,2,5,Right-handed,Left leg in first,On your left side
First,4,5,5,Right-handed,Left leg in first,On your left side
First,5,17,5,Right-handed,Left leg in first,On your left side
First,7,3,5,Right-handed,Left leg in first,On your left side
First,5,3,5,Right-handed,Right leg in first,On your left side
First,9,3,5,Right-handed,Right leg in first,On your left side
First,5,5,5,Right-handed,I don't know,On your right side
First,7,5,5,Right-handed,Left leg in first,On your right side
First,7,5,5,Right-handed,Left leg in first,On your right side
First,5,3,5,Right-handed,Right leg in first,On your right side
First,6,5,5,Right-handed,Right leg in first,On your right side
First,7,3,5,Right-handed,Right leg in first,On your right side
First,10,20,5,Right-handed,Right leg in first,On your right side
First,3,8,5,Right-handed,I don't know,On your stomach
First,9,0,5,Right-handed,Right leg in first,On your stomach
Fourth,10,10,5,Right-handed,Right leg in first,On your left side
Fourth,8,5,5,Right-handed,Right leg in first,On your right side
Second,3,4,5,Right-handed,Left leg in first,On your back
Second,3,7,5,Right-handed,Left leg in first,On your back
Second,4,4,5,Right-handed,Left leg in first,On your back
Second,7,8,5,Right-handed,Left leg in first,On your back
Second,3,10,5,Right-handed,Right leg in first,On your back
Second,7,3,5,Right-handed,I don't know,On your left side
Second,3,2,5,Right-handed,Left leg in first,On your left side
Second,3,5,5,Right-handed,Right leg in first,On your left side
Second,3,7,5,Right-handed,Right leg in first,On your left side
Second,4,6,5,Right-handed,Left leg in first,On your right side
Second,5,4,5,Right-handed,Right leg in first,On your right side
Second,5,8,5,Right-handed,Right leg in first,On your right side
Second,6,5,5,Right-handed,Right leg in first,On your right side
Second,7,3,5,Right-handed,Right leg in first,On your right side
Second,8,10,5,Right-handed,Right leg in first,On your right side
Second,9,6,5,Right-handed,Right leg in first,On your right side
Second,8,8,5,Right-handed,I don't know,On your stomach
Second,4,3,5,Right-handed,Left leg in first,On your stomach
Third,5,5,5,Right-handed,Left leg in first,On your back
Third,7,4,5,Right-handed,Left leg in first,On your back
Third,3,7,5,Right-handed,Right leg in first,On your back
Third,1,6,5,Right-handed,Left leg in first,On your left side
Third,7,3,5,Right-handed,Right leg in first,On your left side
Third,1,1,5,Right-handed,Left leg in first,On your right side
Third,6,2,5,Right-handed,Right leg in first,On your right side
Third,4,5,5,Right-handed,Right leg in first,On your stomach
Third,9,30,5,Right-handed,Right leg in first,On your stomach
Third,9,20,5.5,Right-handed,Left leg in first,On your right side
First,1,3,6,Both,I don't know,On your back
